Month,12kWh,15kWh,20kWh,26kWh,50kWh,5kWh,8kWh,NoBattery
jan,892951.44,902487.89,923371.49,952543.69,1080465.28,883013.80,885998.36,891034.19
feb,746306.56,746777.84,750735.89,756739.61,815155.05,754598.62,748969.92,777050.62
mar,575817.10,559278.51,533768.41,516960.04,547777.88,619007.82,598689.51,664290.77
apr,437794.13,420231.62,394800.06,371945.75,395489.36,481559.37,461934.09,519565.17
may,398915.66,382643.14,371994.50,368583.29,412775.85,447877.86,426442.94,484543.62
jun,303214.94,300484.69,301774.24,313406.02,402034.48,336343.40,316862.19,370575.15
jul,251388.53,244819.80,251285.99,271201.84,371907.62,297825.86,276420.81,336872.33
aug,268046.48,258905.83,257418.95,267196.38,367546.97,316642.11,294805.55,358655.86
sep,499566.04,479425.33,453587.26,446539.82,504301.41,546917.47,526476.52,584629.88
oct,572942.55,565214.88,557291.71,561819.77,642097.03,597271.74,584785.26,634291.22
nov,785503.12,786789.14,798261.39,819874.12,941568.60,793159.55,787351.57,815969.60
dec,1020633.11,1037042.41,1064393.24,1097219.28,1228613.80,987107.41,999715.43,976366.76
